fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5
5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6
7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5
7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7
6.5,0.32,0.23,8.5,0.051,20,138,0.9943,3.03,0.42,10.7,5
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7
7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6
6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,6
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,6
6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,5
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,7
6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8,6
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,6
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,6
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13,7
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,6
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5
6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5
8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6
8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,6
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5
6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,7
6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6
7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7
6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,5
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
7.2,0.34,0.2,5.8,0.062,52,203,0.99461,3.17,0.44,9.8,6
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,7
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6
6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7
6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,6
6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5
6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,6
9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5
7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
6.7,0.3,0.35,1.4,0.18,36,160,0.9937,3.11,0.54,9.4,6
7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,5
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,6
6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5
6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6,5
6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,7
7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7
7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6
6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6
6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
7.6,0.29,0.58,17.5,0.041,51,225,0.9997,3.16,0.66,9.5,6
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8
6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,7
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
7.3,0.25,0.28,1.5,0.043,19,113,0.99338,3.38,0.56,10.1,6
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6
7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5
5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,5
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,6
7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6
7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9,5
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
